,Crypto,Date,Open,High,Low,Close,Adj Close,Volume
133,Bitcoin,2018-03-27,8200.0,8232.780273,7797.279785,7833.040039,7833.040039,5378250240.0
134,Bitcoin,2018-03-28,7836.830078,8122.890137,7809.169922,7954.47998,7954.47998,4935289856.0
135,Bitcoin,2018-03-29,7979.069824,7994.330078,7081.379883,7165.700195,7165.700195,6361229824.0
136,Bitcoin,2018-03-30,7171.450195,7276.660156,6683.930176,6890.52002,6890.52002,6289509888.0
137,Bitcoin,2018-03-31,6892.47998,7207.850098,6863.52002,6973.529785,6973.529785,4553269760.0
138,Bitcoin,2018-04-01,7003.060059,7060.950195,6526.870117,6844.22998,6844.22998,4532100096.0
139,Bitcoin,2018-04-02,6844.859863,7135.470215,6816.580078,7083.799805,7083.799805,4333440000.0
140,Bitcoin,2018-04-03,7102.259766,7530.939941,7072.490234,7456.109863,7456.109863,5499700224.0
141,Bitcoin,2018-04-04,7456.410156,7469.879883,6803.879883,6853.839844,6853.839844,4936000000.0
142,Bitcoin,2018-04-05,6848.649902,6933.819824,6644.799805,6811.470215,6811.470215,5639320064.0
143,Bitcoin,2018-04-06,6815.959961,6857.490234,6575.0,6636.319824,6636.319824,3766810112.0
144,Bitcoin,2018-04-07,6630.509766,7050.540039,6630.509766,6911.089844,6911.089844,3976610048.0
145,Bitcoin,2018-04-08,6919.97998,7111.560059,6919.97998,7023.52002,7023.52002,3652499968.0
146,Bitcoin,2018-04-09,7044.319824,7178.109863,6661.990234,6770.72998,6770.72998,4894060032.0
147,Bitcoin,2018-04-10,6795.439941,6872.410156,6704.149902,6834.759766,6834.759766,4272750080.0
148,Bitcoin,2018-04-11,6843.470215,6968.319824,6817.589844,6968.319824,6968.319824,4641889792.0
149,Bitcoin,2018-04-12,6955.379883,7899.22998,6806.509766,7889.25,7889.25,8906250240.0
150,Bitcoin,2018-04-13,7901.089844,8183.959961,7758.930176,7895.959961,7895.959961,7764460032.0
151,Bitcoin,2018-04-14,7874.669922,8140.709961,7846.0,7986.240234,7986.240234,5191430144.0
152,Bitcoin,2018-04-15,7999.330078,8338.419922,7999.330078,8329.110352,8329.110352,5244480000.0
153,Bitcoin,2018-04-16,8337.570313,8371.150391,7925.72998,8058.669922,8058.669922,5631309824.0
154,Bitcoin,2018-04-17,8071.660156,8285.959961,7881.720215,7902.089844,7902.089844,6900879872.0
155,Bitcoin,2018-04-18,7944.430176,8197.799805,7886.009766,8163.419922,8163.419922,6529909760.0
156,Bitcoin,2018-04-19,8159.27002,8298.69043,8138.779785,8294.30957,8294.30957,7063209984.0
157,Bitcoin,2018-04-20,8286.879883,8880.230469,8244.540039,8845.830078,8845.830078,8438110208.0
158,Bitcoin,2018-04-21,8848.790039,8997.570313,8652.150391,8895.580078,8895.580078,7548550144.0
159,Bitcoin,2018-04-22,8925.05957,9001.639648,8779.610352,8802.459961,8802.459961,6629899776.0
160,Bitcoin,2018-04-23,8794.389648,8958.549805,8788.80957,8930.879883,8930.879883,6925190144.0
161,Bitcoin,2018-04-24,8934.339844,9732.610352,8927.830078,9697.5,9697.5,10678800384.0
162,Bitcoin,2018-04-25,9701.030273,9745.320313,8799.839844,8845.740234,8845.740234,11083100160.0
163,Bitcoin,2018-04-26,8867.320313,9281.509766,8727.089844,9281.509766,9281.509766,8970559488.0
164,Bitcoin,2018-04-27,9290.629883,9375.469727,8987.049805,8987.049805,8987.049805,7566289920.0
165,Bitcoin,2018-04-28,8939.269531,9412.089844,8931.990234,9348.480469,9348.480469,7805479936.0
166,Bitcoin,2018-04-29,9346.410156,9531.490234,9193.709961,9419.080078,9419.080078,8853000192.0
167,Bitcoin,2018-04-30,9426.110352,9477.139648,9166.80957,9240.549805,9240.549805,8673920000.0
168,Bitcoin,2018-05-01,9251.469727,9255.879883,8891.049805,9119.009766,9119.009766,7713019904.0
169,Bitcoin,2018-05-02,9104.599609,9256.519531,9015.139648,9235.919922,9235.919922,7558159872.0
170,Bitcoin,2018-05-03,9233.969727,9798.330078,9188.150391,9743.860352,9743.860352,10207299584.0
171,Bitcoin,2018-05-04,9695.5,9779.200195,9585.959961,9700.759766,9700.759766,8217829888.0
172,Bitcoin,2018-05-05,9700.280273,9964.5,9695.120117,9858.150391,9858.150391,7651939840.0
173,Bitcoin,2018-05-06,9845.30957,9940.139648,9465.25,9654.799805,9654.799805,7222280192.0
174,Bitcoin,2018-05-07,9645.669922,9665.849609,9231.530273,9373.009766,9373.009766,7394019840.0
175,Bitcoin,2018-05-08,9380.870117,9462.75,9127.769531,9234.820313,9234.820313,7415869952.0
176,Bitcoin,2018-05-09,9223.730469,9374.759766,9031.620117,9325.179688,9325.179688,7226890240.0
177,Bitcoin,2018-05-10,9325.959961,9396.040039,9040.519531,9043.94043,9043.94043,6906699776.0
178,Bitcoin,2018-05-11,9052.959961,9052.959961,8394.459961,8441.490234,8441.490234,8488520192.0
179,Bitcoin,2018-05-12,8441.44043,8664.860352,8223.5,8504.889648,8504.889648,6821380096.0
180,Bitcoin,2018-05-13,8515.490234,8773.549805,8395.120117,8723.94043,8723.94043,5866379776.0
181,Bitcoin,2018-05-14,8713.099609,8881.120117,8367.969727,8716.790039,8716.790039,7364149760.0
182,Bitcoin,2018-05-15,8705.19043,8836.19043,8456.450195,8510.379883,8510.379883,6705710080.0
183,Bitcoin,2018-05-16,8504.410156,8508.429688,8175.490234,8368.830078,8368.830078,6760220160.0
184,Bitcoin,2018-05-17,8370.049805,8445.540039,8054.120117,8094.319824,8094.319824,5862530048.0
185,Bitcoin,2018-05-18,8091.830078,8274.120117,7974.819824,8250.969727,8250.969727,5764190208.0
186,Bitcoin,2018-05-19,8255.730469,8372.05957,8183.350098,8247.179688,8247.179688,4712399872.0
187,Bitcoin,2018-05-20,8246.990234,8562.410156,8205.240234,8513.25,8513.25,5191059968.0
188,Bitcoin,2018-05-21,8522.330078,8557.519531,8365.120117,8418.990234,8418.990234,5154990080.0
189,Bitcoin,2018-05-22,8419.870117,8423.25,8004.580078,8041.779785,8041.779785,5137010176.0
190,Bitcoin,2018-05-23,8037.080078,8054.660156,7507.879883,7557.819824,7557.819824,6491120128.0
191,Bitcoin,2018-05-24,7561.120117,7738.600098,7331.140137,7587.339844,7587.339844,6049220096.0
192,Bitcoin,2018-05-25,7592.299805,7659.140137,7392.649902,7480.140137,7480.140137,4867829760.0
193,Bitcoin,2018-05-26,7486.47998,7595.160156,7349.120117,7355.879883,7355.879883,4051539968.0
194,Bitcoin,2018-05-27,7362.080078,7381.740234,7270.959961,7368.220215,7368.220215,4056519936.0
195,Bitcoin,2018-05-28,7371.310059,7419.049805,7100.890137,7135.990234,7135.990234,5040600064.0
196,Bitcoin,2018-05-29,7129.459961,7526.419922,7090.680176,7472.589844,7472.589844,5662660096.0
197,Bitcoin,2018-05-30,7469.72998,7573.77002,7313.600098,7406.52002,7406.52002,4922540032.0
198,Bitcoin,2018-05-31,7406.149902,7608.899902,7361.129883,7494.169922,7494.169922,5127130112.0
199,Bitcoin,2018-06-01,7500.700195,7604.72998,7407.339844,7541.450195,7541.450195,4921460224.0
200,Bitcoin,2018-06-02,7536.720215,7695.830078,7497.259766,7643.450195,7643.450195,4939299840.0
201,Bitcoin,2018-06-03,7632.089844,7754.890137,7613.040039,7720.25,7720.25,4851760128.0
202,Bitcoin,2018-06-04,7722.529785,7753.819824,7474.040039,7514.470215,7514.470215,4993169920.0
203,Bitcoin,2018-06-05,7500.899902,7643.22998,7397.0,7633.759766,7633.759766,4961739776.0
